total_bill,tip,sex,smoker,day,time,size,avg_tip,max_tip,avg_bill,total_bills_by_day,avg_tip_by_sex,avg_tip_by_smoker,tip_zscore,tip_percentage
34.83,5.17,Female,No,Thur,Lunch,4,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,1.568291621878749,14.843525696238874
13.03,2.0,Male,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,2.9918543046357615,-0.7252377370896389,15.349194167306218
18.28,4.0,Male,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,2.9918543046357615,0.7217839404929403,21.88183807439825
24.71,5.85,Male,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,2.9918543046357615,2.060278992256826,23.674625657628486
21.16,3.0,Male,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,2.9918543046357615,-0.0017268982983493265,14.177693761814744
28.97,3.0,Male,Yes,Fri,Dinner,2,2.73,4.73,17.15,325.88,3.0896178343949043,3.019673913043478,-0.0017268982983493265,10.355540214014498
22.49,3.5,Male,No,Fri,Dinner,2,2.73,4.73,17.15,325.88,3.0896178343949043,2.9918543046357615,0.3600285210972955,15.562472209871055
5.75,1.0,Female,Yes,Fri,Dinner,2,2.73,4.73,17.15,325.88,2.8431395348837207,3.019673913043478,-1.4487485758809286,17.391304347826086
16.32,4.3,Female,Yes,Fri,Dinner,2,2.73,4.73,17.15,325.88,2.8431395348837207,3.019673913043478,0.938837192130327,26.348039215686274
22.75,3.25,Female,No,Fri,Dinner,2,2.73,4.73,17.15,325.88,2.8431395348837207,2.9918543046357615,0.1791508113994731,14.285714285714285
40.17,4.73,Male,Yes,Fri,Dinner,4,2.73,4.73,17.15,325.88,3.0896178343949043,3.019673913043478,1.249946852810582,11.77495643515061
27.28,4.0,Male,Yes,Fri,Dinner,2,2.73,4.73,17.15,325.88,3.0896178343949043,3.019673913043478,0.7217839404929403,14.662756598240467
12.03,1.5,Male,Yes,Fri,Dinner,2,2.73,4.73,17.15,325.88,3.0896178343949043,3.019673913043478,-1.0869931564852837,12.468827930174564
21.01,3.0,Male,Yes,Fri,Dinner,2,2.73,4.73,17.15,325.88,3.0896178343949043,3.019673913043478,-0.0017268982983493265,14.27891480247501
12.46,1.5,Male,No,Fri,Dinner,2,2.73,4.73,17.15,325.88,3.0896178343949043,2.9918543046357615,-1.0869931564852837,12.03852327447833
11.35,2.5,Female,Yes,Fri,Dinner,2,2.73,4.73,17.15,325.88,2.8431395348837207,3.019673913043478,-0.36348231769399414,22.026431718061676
15.38,3.0,Female,Yes,Fri,Dinner,2,2.73,4.73,17.15,325.88,2.8431395348837207,3.019673913043478,-0.0017268982983493265,19.505851755526656
44.3,2.5,Female,Yes,Sat,Dinner,3,2.99,10.0,20.44,1778.4,2.8431395348837207,3.019673913043478,-0.36348231769399414,5.643340857787811
22.42,3.48,Female,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,2.8431395348837207,3.019673913043478,0.34555830432146967,15.521855486173058
20.92,4.08,Female,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,2.8431395348837207,2.9918543046357615,0.7796648075962435,19.50286806883365
15.36,1.64,Male,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,-0.9857016390545033,10.677083333333332
20.49,4.06,Male,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,0.7651945908204174,19.814543679843826
25.21,4.29,Male,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,0.9316020837424143,17.017056723522412
18.24,3.76,Male,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,0.5481413391830307,20.614035087719298
14.31,4.0,Female,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,2.8431395348837207,3.019673913043478,0.7217839404929403,27.952480782669458
14.0,3.0,Male,No,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,2.9918543046357615,-0.0017268982983493265,21.428571428571427
7.25,1.0,Female,No,Sat,Dinner,1,2.99,10.0,20.44,1778.4,2.8431395348837207,2.9918543046357615,-1.4487485758809286,13.793103448275861
38.07,4.0,Male,No,Sun,Dinner,3,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,0.7217839404929403,10.506960861570791
23.95,2.55,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-0.3273067757544298,10.647181628392484
25.71,4.0,Female,No,Sun,Dinner,3,3.26,6.5,21.41,1627.16,2.8431395348837207,2.9918543046357615,0.7217839404929403,15.558148580318942
17.31,3.5,Female,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,2.8431395348837207,2.9918543046357615,0.3600285210972955,20.219526285384173
29.93,5.07,Male,No,Sun,Dinner,4,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,1.4959405379996205,16.93952555963916
10.65,1.5,Female,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,-1.0869931564852837,14.084507042253522
12.43,1.8,Female,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,-0.8699399048478968,14.481094127111827
24.08,2.92,Female,No,Thur,Lunch,4,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,-0.059607765401652545,12.12624584717608
11.69,2.31,Male,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,2.9918543046357615,-0.5009493770643392,19.760479041916167
13.42,1.68,Female,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,-0.9567612055028517,12.518628912071533
14.26,2.5,Male,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,2.9918543046357615,-0.36348231769399414,17.53155680224404
15.95,2.0,Male,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,2.9918543046357615,-0.7252377370896389,12.539184952978058
12.48,2.52,Female,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,-0.3490121009181683,20.192307692307693
29.8,4.2,Female,No,Thur,Lunch,6,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,0.8664861082511983,14.093959731543624
8.52,1.48,Male,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,2.9918543046357615,-1.1014633732611097,17.370892018779344
14.52,2.0,Female,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,-0.7252377370896389,13.774104683195592
11.38,2.0,Female,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,-0.7252377370896389,17.57469244288225
22.82,2.18,Male,No,Thur,Lunch,3,2.78,6.7,17.76,1083.33,3.0896178343949043,2.9918543046357615,-0.5950057861072067,9.55302366345311
19.08,1.5,Male,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,2.9918543046357615,-1.0869931564852837,7.8616352201257875
20.27,2.83,Female,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,-0.12472374089286851,13.961519486926493
11.17,1.5,Female,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,-1.0869931564852837,13.428827215756492
12.26,2.0,Female,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,-0.7252377370896389,16.31321370309951
18.26,3.25,Female,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,0.1791508113994731,17.798466593647316
8.51,1.25,Female,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,-1.2678708661831062,14.688601645123384
10.33,2.0,Female,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,-0.7252377370896389,19.36108422071636
14.15,2.0,Female,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,-0.7252377370896389,14.13427561837456
16.0,2.0,Male,Yes,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,3.019673913043478,-0.7252377370896389,12.5
13.16,2.75,Female,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,-0.18260460799617173,20.89665653495441
17.47,3.5,Female,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,0.3600285210972955,20.034344590726963
34.3,6.7,Male,No,Thur,Lunch,6,2.78,6.7,17.76,1083.33,3.0896178343949043,2.9918543046357615,2.6752632052294225,19.533527696793005
41.19,5.0,Male,No,Thur,Lunch,5,2.78,6.7,17.76,1083.33,3.0896178343949043,2.9918543046357615,1.44529477928423,12.138868657441128
27.05,5.0,Female,No,Thur,Lunch,6,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,1.44529477928423,18.484288354898336
16.43,2.3,Female,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,-0.5081844854522521,13.998782714546559
8.35,1.5,Female,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,-1.0869931564852837,17.964071856287426
18.64,1.36,Female,No,Thur,Lunch,3,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,-1.1882846739160642,7.296137339055794
11.87,1.63,Female,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,2.8431395348837207,2.9918543046357615,-0.9929367474424162,13.732097725358045
9.78,1.73,Male,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,2.9918543046357615,-0.9205856635632872,17.68916155419223
7.51,2.0,Male,No,Thur,Lunch,2,2.78,6.7,17.76,1083.33,3.0896178343949043,2.9918543046357615,-0.7252377370896389,26.63115845539281
14.07,2.5,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-0.36348231769399414,17.768301350390903
13.13,2.0,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-0.7252377370896389,15.232292460015232
17.26,2.74,Male,No,Sun,Dinner,3,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-0.18983971638408448,15.874855156431053
24.55,2.0,Male,No,Sun,Dinner,4,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-0.7252377370896389,8.146639511201629
19.77,2.0,Male,No,Sun,Dinner,4,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-0.7252377370896389,10.116337885685383
29.85,5.14,Female,No,Sun,Dinner,5,3.26,6.5,21.41,1627.16,2.8431395348837207,2.9918543046357615,1.5465862967150101,17.219430485762143
48.17,5.0,Male,No,Sun,Dinner,6,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,1.44529477928423,10.379904504878555
25.0,3.75,Female,No,Sun,Dinner,4,3.26,6.5,21.41,1627.16,2.8431395348837207,2.9918543046357615,0.5409062307951179,15.0
13.39,2.61,Female,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,2.8431395348837207,2.9918543046357615,-0.28389612542695236,19.49215832710978
16.49,2.0,Male,No,Sun,Dinner,4,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-0.7252377370896389,12.128562765312312
21.5,3.5,Male,No,Sun,Dinner,4,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,0.3600285210972955,16.27906976744186
12.66,2.5,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-0.36348231769399414,19.747235387045812
16.21,2.0,Female,No,Sun,Dinner,3,3.26,6.5,21.41,1627.16,2.8431395348837207,2.9918543046357615,-0.7252377370896389,12.338062924120912
13.81,2.0,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-0.7252377370896389,14.482259232440258
17.51,3.0,Female,Yes,Sun,Dinner,2,3.26,6.5,21.41,1627.16,2.8431395348837207,3.019673913043478,-0.0017268982983493265,17.133066818960593
24.52,3.48,Male,No,Sun,Dinner,3,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,0.34555830432146967,14.192495921696574
20.76,2.24,Male,No,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,-0.5515951357797293,10.789980732177264
31.71,4.5,Male,No,Sun,Dinner,4,3.26,6.5,21.41,1627.16,3.0896178343949043,2.9918543046357615,1.0835393598885852,14.191106906338694
10.59,1.61,Female,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,2.8431395348837207,3.019673913043478,-1.0074069642182417,15.203021718602455
10.63,2.0,Female,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,2.8431395348837207,3.019673913043478,-0.7252377370896389,18.814675446848543
50.81,10.0,Male,Yes,Sat,Dinner,3,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,5.062848973240678,19.681165124975397
15.81,3.16,Male,Yes,Sat,Dinner,2,2.99,10.0,20.44,1778.4,3.0896178343949043,3.019673913043478,0.11403483590825711,19.987349778621127
7.25,5.15,Male,Yes,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,3.019673913043478,1.5538214051029235,71.0344827586207
31.85,3.18,Male,Yes,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,3.019673913043478,0.1285050526840829,9.98430141287284
16.82,4.0,Male,Yes,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,3.019673913043478,0.7217839404929403,23.781212841854934
32.9,3.11,Male,Yes,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,3.019673913043478,0.07785929396869244,9.45288753799392
17.89,2.0,Male,Yes,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,3.019673913043478,-0.7252377370896389,11.179429849077696
14.48,2.0,Male,Yes,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,3.019673913043478,-0.7252377370896389,13.812154696132598
9.6,4.0,Female,Yes,Sun,Dinner,2,3.26,6.5,21.41,1627.16,2.8431395348837207,3.019673913043478,0.7217839404929403,41.66666666666667
34.63,3.55,Male,Yes,Sun,Dinner,2,3.26,6.5,21.41,1627.16,3.0896178343949043,3.019673913043478,0.39620406303685984,10.2512272596015
